id,site,gender,length (mm),weight (g)
1946,PAD2017,F,15.0,1.5
1947,PAD2017,M,15.0,1.5
1948,PAD2017,F,15.0,1.5
1949,PAD2017,M,15.0,1.5
1950,PAD2017,F,15.0,1.5
1951,PAD2017,M,15.0,1.5
1952,PAD2017,F,15.0,1.5
1953,PAD2017,M,15.0,1.5
1954,PAD2017,F,15.0,1.5
1955,PAD2017,M,15.0,1.5
1956,PAD2017,F,15.0,1.5
1957,PAD2017,M,15.0,1.5
1958,PAD2017,F,15.0,1.5
1959,PAD2017,M,15.0,1.5
1960,PAD2017,F,15.0,1.5
1961,PAD2017,M,15.0,1.5
1962,PAD2017,F,15.0,1.5
1963,PAD2017,M,15.0,1.5
1964,PAD2017,F,15.0,1.5
1965,PAD2017,M,15.0,1.5
1966,PAD2017,F,15.0,1.5
1967,PAD2017,M,15.0,1.5
1968,PAD2017,F,15.0,1.5
1969,PAD2017,M,15.0,1.5
1970,PAD2017,F,15.0,1.5
1971,PAD2017,F,13.0,0.7
1972,PAD2017,F,13.0,1.4
1973,PAD2017,M,16.0,1.6
